country,region,state,city,postal_code,geo_id
Netherlands,Western Europe,North Brabant,Bergen op Zoom,,93
United States,Southern US,Virginia,Arlington,22204.0,94
Germany,Western Europe,Lower Saxony,Hanover,,95
Spain,Southern Europe,Galicia,Vigo,,96
China,Eastern Asia,Jiangsu,Gaoyou,,97
Germany,Western Europe,Bremen,Bremen,,98
France,Western Europe,Languedoc-Roussillon-Midi-Pyrénées,Muret,,99
China,Eastern Asia,Sichuan,Zigong,,100
Australia,Oceania,South Australia,Adelaide,,101
United States,Western US,Washington,Seattle,98105.0,102
United States,Eastern US,New York,New York City,10009.0,103
France,Western Europe,Ile-de-France,Chelles,,104
Malaysia,Southeastern Asia,Pahang,Kuantan,,105
United States,Southern US,Virginia,Waynesboro,22980.0,106
Ecuador,South America,Pichincha,Quito,,107
India,Southern Asia,Gujarat,Vadodara,,108
China,Eastern Asia,Hainan,Sanya,,109
Thailand,Southeastern Asia,Bangkok,Bangkok,,110
United States,Central US,Indiana,Greenwood,46142.0,111
Indonesia,Southeastern Asia,Jawa Barat,Tasikmalaya,,112
Mexico,Central America,Sonora,Guaymas,,113
China,Eastern Asia,Hubei,Wuhan,,114
Brazil,South America,São Paulo,Salto,,115
Italy,Southern Europe,Veneto,Treviso,,116
Somalia,Eastern Africa,Woqooyi Galbeed,Hargeysa,,117
Indonesia,Southeastern Asia,Yogyakarta,Yogyakarta,,118
China,Eastern Asia,Liaoning,Anshan,,119
Netherlands,Western Europe,North Holland,Amsterdam,,120
France,Western Europe,Normandy,Le Petit-Quevilly,,121
Germany,Western Europe,North Rhine-Westphalia,Bochum,,122
Germany,Western Europe,Hamburg,Hamburg,,123
Guatemala,Central America,Guatemala,Mixco,,124
United States,Eastern US,New Hampshire,Concord,3301.0,125
Mexico,Central America,Michoacán,Morelia,,126
China,Eastern Asia,Jilin,Changchun,,127
Spain,Southern Europe,Madrid,Madrid,,128
Saudi Arabia,Western Asia,Makkah,Jeddah,,129
United States,Western US,Washington,Des Moines,98198.0,130
Indonesia,Southeastern Asia,Sumatera Utara,Medan,,131
Indonesia,Southeastern Asia,Jakarta,Jakarta,,132
Indonesia,Southeastern Asia,Jawa Tengah,Surakarta,,133
China,Eastern Asia,Beijing,Beijing,,134
Mexico,Central America,Hidalgo,Tulancingo,,135
Belarus,Eastern Europe,Brest,Brest,,136
Spain,Southern Europe,Valenciana,Valencia,,137
United States,Eastern US,Pennsylvania,Philadelphia,19143.0,138
Ukraine,Eastern Europe,Zhytomyr,Zhytomyr,,139
France,Western Europe,Ile-de-France,Argenteuil,,140
France,Western Europe,Aquitaine-Limousin-Poitou-Charentes,Talence,,141
India,Southern Asia,Bihar,Aurangabad,,142
France,Western Europe,Ile-de-France,Plaisir,,143
United Kingdom,Northern Europe,England,Harrogate,,144
Cambodia,Southeastern Asia,Phnom Penh,Phnom Penh,,145
Australia,Oceania,Queensland,Mackay,,146
United States,Eastern US,Rhode Island,Cranston,2920.0,147
Indonesia,Southeastern Asia,Jambi,Jambi,,148
Germany,Western Europe,North Rhine-Westphalia,Moers,,149
China,Eastern Asia,Guangdong,Shenzhen,,150
Australia,Oceania,Tasmania,Launceston,,151
United States,Eastern US,New York,New York City,10011.0,152
Philippines,Southeastern Asia,National Capital,Marikina,,153
South Africa,Southern Africa,Gauteng,Johannesburg,,154
Spain,Southern Europe,Basque Country,Barakaldo,,155
United States,Western US,California,Los Angeles,90036.0,156
United States,Western US,Nevada,Henderson,89015.0,157
China,Eastern Asia,Shandong,Qingdao,,158
Canada,Canada,Ontario,Oakville,,159
Iran,Southern Asia,Fars,Shiraz,,160
India,Southern Asia,Jharkhand,Bokaro,,161
Japan,Eastern Asia,Shizuoka,Fuji,,162
Spain,Southern Europe,Valenciana,Benidorm,,163
India,Southern Asia,Kerala,Kozhikode,,164
Malaysia,Southeastern Asia,Kuala Lumpur,Kuala Lumpur,,165
Russia,Eastern Europe,Astrakhan',Astrakhan',,166
China,Eastern Asia,Hunan,Xiangtan,,167
China,Eastern Asia,Zhejiang,Shaoxing,,168
India,Southern Asia,Madhya Pradesh,Jabalpur,,169
India,Southern Asia,Bihar,Patna,,170
France,Western Europe,Pays de la Loire,La Baule-Escoublac,,171
France,Western Europe,Bourgogne-Franche-Comté,Dijon,,172
United States,Eastern US,Pennsylvania,Chester,19013.0,173
United States,Southern US,Tennessee,Knoxville,37918.0,174
South Africa,Southern Africa,Western Cape,Cape Town,,175
Egypt,North Africa,Al Qahirah,Cairo,,176
United Kingdom,Northern Europe,England,West Bromwich,,177
Azerbaijan,Western Asia,Baki,Baku,,178
United Kingdom,Northern Europe,England,Burnley,,179
France,Western Europe,Pays de la Loire,Laval,,180
Lithuania,Northern Europe,Vilnius,Vilnius,,181
United States,Southern US,Georgia,Atlanta,30318.0,182
Argentina,South America,Buenos Aires,Buenos Aires,,183
Egypt,North Africa,Suhaj,Girga,,184
India,Southern Asia,Kerala,Kochi,,185
Lesotho,Southern Africa,Maseru,Maseru,,186
New Zealand,Oceania,Wellington,Wellington,,187
China,Eastern Asia,Henan,Luoyang,,188
Brazil,South America,Bahia,Feira de Santana,,189
Nicaragua,Central America,Matagalpa,Matagalpa,,190
United States,Western US,California,Huntington Beach,92646.0,191
United States,Eastern US,Ohio,Columbus,43229.0,192
Nicaragua,Central America,Managua,Managua,,193
China,Eastern Asia,Inner Mongolia,Wuhai,,194
France,Western Europe,Pays de la Loire,Nantes,,195
France,Western Europe,Alsace-Champagne-Ardenne-Lorraine,Strasbourg,,196
Indonesia,Southeastern Asia,Jawa Timur,Surabaya,,197
Brazil,South America,São Paulo,Tupã,,198
Austria,Western Europe,Vienna,Vienna,,199
Mexico,Central America,Distrito Federal,Mexico City,,200
Australia,Oceania,Tasmania,Hobart,,201
Japan,Eastern Asia,Osaka,Hirakata,,202
United Kingdom,Northern Europe,England,Preston,,203
India,Southern Asia,Uttar Pradesh,Agra,,204
Spain,Southern Europe,Catalonia,Granollers,,205
Vietnam,Southeastern Asia,Ho Chí Minh City,Ho Chi Minh City,,206
Cuba,Caribbean,Camagüey,Camagüey,,207
Romania,Eastern Europe,Neamt,Piatra-Neamt,,208
Mexico,Central America,Distrito Federal,Milpa Alta,,209
Mexico,Central America,Guanajuato,León,,210
United States,Central US,Missouri,Springfield,65807.0,211
Turkey,Western Asia,Izmir,Izmir,,212
Mexico,Central America,Distrito Federal,Coyoacán,,213
New Zealand,Oceania,Auckland,Manukau City,,214
Cameroon,Central Africa,Centre,Yaounde,,215
United Kingdom,Northern Europe,England,Newcastle upon Tyne,,216
India,Southern Asia,Uttarakhand,Dehra Dun,,217
Spain,Southern Europe,Cantabria,Santander,,218
China,Eastern Asia,Hebei,Cangzhou,,219
China,Eastern Asia,Shanghai,Shanghai,,220
Nicaragua,Central America,León,León,,221
Russia,Eastern Europe,Yaroslavl',Rybinsk,,222
Brazil,South America,São Paulo,Ibiúna,,223
Australia,Oceania,Australian Capital Territory,Canberra,,224
South Africa,Southern Africa,Eastern Cape,Port Elizabeth,,225
United Kingdom,Northern Europe,England,Cambridge,,226
India,Southern Asia,Chhattisgarh,Kota,,227
New Zealand,Oceania,Canterbury,Christchurch,,228
France,Western Europe,Ile-de-France,Vincennes,,229
China,Eastern Asia,Chongqing,Chongqing,,230
Hungary,Eastern Europe,Bekes,Gyula,,231
India,Southern Asia,Uttar Pradesh,Lucknow,,232
Italy,Southern Europe,Piedmont,Turin,,233
Singapore,Southeastern Asia,Singapore,Singapore,,234
Angola,Central Africa,Benguela,Benguela,,235
Japan,Eastern Asia,Hyogo,Himeji,,236
United States,Southern US,Virginia,Charlottesville,22901.0,237
Indonesia,Southeastern Asia,Sulawesi Tenggara,Kendari,,238
El Salvador,Central America,San Salvador,Mejicanos,,239
Spain,Southern Europe,Catalonia,Barcelona,,240
France,Western Europe,Provence-Alpes-Côte d'Azur,Menton,,241
France,Western Europe,Auvergne,Clermont-Ferrand,,242
United States,Western US,California,San Diego,92037.0,243
Romania,Eastern Europe,Buzau,Buzau,,244
Brazil,South America,Paraíba,Bayeux,,245
United States,Central US,Texas,Irving,75061.0,246
Australia,Oceania,Northern Territory,Darwin,,247
United States,Central US,Illinois,Chicago,60653.0,248
France,Western Europe,Normandy,Bayeux,,249
France,Western Europe,Nord-Pas-de-Calais-Picardie,Lens,,250
France,Western Europe,Brittany,Lannion,,251
Germany,Western Europe,North Rhine-Westphalia,Iserlohn,,252
Democratic Republic of the Congo,Central Africa,Katanga,Kalemie,,253
Belgium,Western Europe,East Flanders,Ghent,,254
France,Western Europe,Provence-Alpes-Côte d'Azur,Marseille,,255
Pakistan,Southern Asia,Punjab,Lahore,,256
France,Western Europe,Auvergne-Rhône-Alpes,Grenoble,,257
Finland,Northern Europe,Uusimaa,Espoo,,258
Australia,Oceania,South Australia,Whyalla,,259
France,Western Europe,Ile-de-France,Ivry-sur-Seine,,260
India,Southern Asia,Uttar Pradesh,Kanpur,,261
France,Western Europe,Provence-Alpes-Côte d'Azur,Saint-Laurent-du-Var,,262
Colombia,South America,Bolívar,Cartagena,,263
Mexico,Central America,Quintana Roo,Cancún,,264
China,Eastern Asia,Heilongjiang,Harbin,,265
Ghana,Western Africa,Ashanti,Kumasi,,266
India,Southern Asia,Tamil Nadu,Salem,,267
France,Western Europe,Pays de la Loire,Angers,,268
Iran,Southern Asia,Lorestan,Khorramabad,,269
India,Southern Asia,Tamil Nadu,Chennai,,270
Italy,Southern Europe,Apulia,Barletta,,271
United Kingdom,Northern Europe,England,Tamworth,,272
India,Southern Asia,West Bengal,Kulti,,273
France,Western Europe,Pays de la Loire,Le Mans,,274
China,Eastern Asia,Sichuan,Mianyang,,275
Mexico,Central America,Nuevo León,Cadereyta,,276
Australia,Oceania,Queensland,Bundaberg,,277
Brazil,South America,Goiás,Valparaíso de Goiás,,278
Indonesia,Southeastern Asia,Sulawesi Utara,Manado,,279
India,Southern Asia,Bihar,Muzaffarpur,,280
Iran,Southern Asia,Kermanshah,Kermanshah,,281
India,Southern Asia,Maharashtra,Thane,,282
Colombia,South America,Santander,Piedecuesta,,283
India,Southern Asia,Karnataka,Bangalore,,284
China,Eastern Asia,Fujian,Xiamen,,285
Zambia,Eastern Africa,Copperbelt,Kitwe,,286
China,Eastern Asia,Guangdong,Jieyang,,287
United States,Central US,Michigan,Detroit,48205.0,288
Japan,Eastern Asia,Shizuoka,Hamamatsu,,289
China,Eastern Asia,Zhejiang,Ningbo,,290
India,Southern Asia,Rajasthan,Jodhpur,,291
Germany,Western Europe,Thuringia,Weimar,,292
New Zealand,Oceania,Auckland,Auckland,,293
Democratic Republic of the Congo,Central Africa,Katanga,Lubumbashi,,294
United States,Central US,Texas,Pearland,77581.0,295
United States,Southern US,Kentucky,Henderson,42420.0,296
India,Southern Asia,Maharashtra,Nagpur,,297
Mexico,Central America,Tabasco,Villahermosa,,298
France,Western Europe,Auvergne-Rhône-Alpes,Oyonnax,,299
Mexico,Central America,México,Metepec,,300
United States,Central US,Indiana,Indianapolis,46203.0,301
United States,Western US,Oregon,Portland,97206.0,302
France,Western Europe,Ile-de-France,Antony,,303
Mexico,Central America,Sinaloa,Culiacán,,304
United States,Western US,Arizona,Phoenix,85023.0,305
Iraq,Western Asia,Maysan,Al Amarah,,306
Iran,Southern Asia,Razavi Khorasan,Mashhad,,307
United States,Central US,Texas,Houston,77041.0,308
India,Southern Asia,Gujarat,Bhavnagar,,309
Italy,Southern Europe,Lazio,Rome,,310
Spain,Southern Europe,Balearic Islands,Palma de Mallorca,,311
France,Western Europe,Auvergne-Rhône-Alpes,Saint-Priest,,312
Hungary,Eastern Europe,Gyor,Gyor,,313
Liberia,Western Africa,Montserrado,Monrovia,,314
Cuba,Caribbean,Santiago de Cuba,Santiago de Cuba,,315
Colombia,South America,Bogota,Bogotá,,316
Germany,Western Europe,Bavaria,Erlangen,,317
Georgia,Western Asia,Tbilisi,Tbilisi,,318
India,Southern Asia,Rajasthan,Jaipur,,319
China,Eastern Asia,Gansu,Suzhou,,320
Italy,Southern Europe,Emilia-Romagna,Reggio nell'Emilia,,321
Mexico,Central America,Distrito Federal,Azcapotzalco,,322
Poland,Eastern Europe,Lublin,Lublin,,323
Switzerland,Western Europe,Zürich,Zurich,,324
Albania,Southern Europe,Elbasan,Elbasan,,325
Russia,Eastern Europe,Voronezh,Voronezh,,326
Japan,Eastern Asia,Yamaguchi,Shimonoseki,,327
Indonesia,Southeastern Asia,Sulawesi Tengah,Palu,,328
India,Southern Asia,Manipur,Imphal,,329
China,Eastern Asia,Liaoning,Shenyang,,330
Chad,Central Africa,Mandoul,Koumra,,331
Australia,Oceania,Victoria,Ballarat,,332
Montenegro,Southern Europe,Podgorica,Podgorica,,333
Brazil,South America,São Paulo,Ribeirão Preto,,334
Mexico,Central America,Jalisco,Zapopan,,335
France,Western Europe,Aquitaine-Limousin-Poitou-Charentes,Bordeaux,,336
Iran,Southern Asia,Hamadan,Hamadan,,337
Namibia,Southern Africa,Khomas,Windhoek,,338
Netherlands,Western Europe,North Brabant,Eindhoven,,339
Canada,Canada,Ontario,Toronto,,340
Guatemala,Central America,Quezaltenango,Quetzaltenango,,341
El Salvador,Central America,La Libertad,Antiguo Cuscatlán,,342
Cuba,Caribbean,Guantánamo,Guantánamo,,343
Philippines,Southeastern Asia,Western Visayas,Bacolod City,,344
Australia,Oceania,Western Australia,Kwinana,,345
France,Western Europe,Ile-de-France,Deuil-la-Barre,,346
United States,Central US,Illinois,Bloomington,61701.0,347
Portugal,Southern Europe,Lisboa,Lisbon,,348
India,Southern Asia,Uttar Pradesh,Jhansi,,349
India,Southern Asia,Maharashtra,Amravati,,350
China,Eastern Asia,Liaoning,Wafangdian,,351
Dominican Republic,Caribbean,San Juan,San Juan de la Maguana,,352
Madagascar,Eastern Africa,Analamanga,Antananarivo,,353
Russia,Eastern Europe,Bashkortostan,Ufa,,354
Iran,Southern Asia,Tehran,Tehran,,355
Australia,Oceania,Victoria,Bendigo,,356
Pakistan,Southern Asia,Baluchistan,Quetta,,357
Italy,Southern Europe,Veneto,Rovigo,,358
Colombia,South America,Cundinamarca,Soacha,,359
United Kingdom,Northern Europe,England,Dudley,,360
France,Western Europe,Ile-de-France,Ris-Orangis,,361
France,Western Europe,Ile-de-France,Levallois-Perret,,362
Ukraine,Eastern Europe,Volyn,Luts'k,,363
El Salvador,Central America,San Salvador,San Salvador,,364
United Kingdom,Northern Europe,England,Stoke-on-Trent,,365
Brazil,South America,São Paulo,São Paulo,,366
China,Eastern Asia,Anhui,Huaibei,,367
New Zealand,Oceania,Wellington,Masterton,,368
New Zealand,Oceania,Northland,Whangarei,,369
China,Eastern Asia,Yunnan,Kunming,,370
United States,Western US,Oregon,Salem,97301.0,371
Spain,Southern Europe,Navarra,Pamplona,,372
Sweden,Northern Europe,Stockholm,Haninge,,373
Spain,Southern Europe,Asturias,Oviedo,,374
United States,Western US,Arizona,Tucson,85705.0,375
India,Southern Asia,Maharashtra,Nasik,,376
Spain,Southern Europe,Valenciana,Torrevieja,,377
Japan,Eastern Asia,Yamaguchi,Ube,,378
United States,Central US,Texas,Houston,77036.0,379
United States,Southern US,Kentucky,Louisville,40214.0,380
Italy,Southern Europe,Campania,Pozzuoli,,381
Ukraine,Eastern Europe,Poltava,Poltava,,382
Indonesia,Southeastern Asia,Yogyakarta,Depok,,383
Germany,Western Europe,Bavaria,Regensburg,,384
India,Southern Asia,Andhra Pradesh,Visakhapatnam,,385
France,Western Europe,Ile-de-France,Clamart,,386
Germany,Western Europe,Lower Saxony,Garbsen,,387
China,Eastern Asia,Heilongjiang,Jixi,,388
South Africa,Southern Africa,North-West,Potchefstroom,,389
Russia,Eastern Europe,Vladimir,Vladimir,,390
Spain,Southern Europe,Castile and León,Burgos,,391
India,Southern Asia,Kerala,Kollam,,392
Myanmar (Burma),Southeastern Asia,Yangon,Yangon,,393
France,Western Europe,Ile-de-France,Bondy,,394
France,Western Europe,Aquitaine-Limousin-Poitou-Charentes,Mont-de-Marsan,,395
France,Western Europe,Auvergne-Rhône-Alpes,Lyon,,396
Indonesia,Southeastern Asia,Jawa Barat,Depok,,397
Brazil,South America,São Paulo,Santo André,,398
Germany,Western Europe,North Rhine-Westphalia,Menden,,399
Jamaica,Caribbean,Saint Catherine,Spanish Town,,400
New Zealand,Oceania,Waikato,Taupo,,401
China,Eastern Asia,Liaoning,Fengcheng,,402
France,Western Europe,Normandy,Vernon,,403
China,Eastern Asia,Tianjin,Tianjin,,404
Mexico,Central America,Chihuahua,Chihuahua,,405
Spain,Southern Europe,Valenciana,Elx,,406
Dominican Republic,Caribbean,Barahona,Santa Cruz de Barahona,,407
Brazil,South America,Federal District,Brasília,,408
United States,Central US,Illinois,Aurora,60505.0,409
China,Eastern Asia,Gansu,Lanzhou,,410
Australia,Oceania,Northern Territory,Alice Springs,,411
Greece,Southern Europe,Attica,Athens,,412
Qatar,Western Asia,Ad Dawhah,Doha,,413
Italy,Southern Europe,Lazio,Velletri,,414
Japan,Eastern Asia,Oita,Matsubara,,415
United Kingdom,Northern Europe,England,Gloucester,,416
France,Western Europe,Ile-de-France,Puteaux,,417
Australia,Oceania,Victoria,Geelong,,418
New Zealand,Oceania,Bay of Plenty,Whakatane,,419
Brazil,South America,Rio Grande do Norte,Açu,,420
United Kingdom,Northern Europe,England,Colchester,,421
United States,Central US,Texas,Dallas,75217.0,422
France,Western Europe,Languedoc-Roussillon-Midi-Pyrénées,Montpellier,,423
Germany,Western Europe,Hesse,Wetzlar,,424
Canada,Canada,Alberta,Edmonton,,425
China,Eastern Asia,Hubei,Shashi,,426
China,Eastern Asia,Jilin,Chaoyang,,427
United Kingdom,Northern Europe,England,Rugby,,428
United States,Western US,Washington,Auburn,98002.0,429
France,Western Europe,Auvergne-Rhône-Alpes,Saint-Chamond,,430
France,Western Europe,Ile-de-France,Fontenay-aux-Roses,,431
China,Eastern Asia,Inner Mongolia,Baotou,,432
United States,Eastern US,New York,Yonkers,10701.0,433
Brazil,South America,Santa Catarina,Joinville,,434
Brazil,South America,Parana,Colombo,,435
China,Eastern Asia,Shandong,Jining,,436
China,Eastern Asia,Jiangsu,Zhenjiang,,437
United Kingdom,Northern Europe,England,York,,438
China,Eastern Asia,Inner Mongolia,Jining,,439
Mexico,Central America,Yucatán,Mérida,,440
Guatemala,Central America,Guatemala,Villa Nueva,,441
France,Western Europe,Auvergne-Rhône-Alpes,Annecy-le-Vieux,,442
France,Western Europe,Ile-de-France,Drancy,,443
United States,Eastern US,New York,Long Beach,11561.0,444
Tanzania,Eastern Africa,Dar Es Salaam,Dar es Salaam,,445
Germany,Western Europe,Bavaria,Nuremberg,,446
United States,Central US,Texas,Carrollton,75007.0,447
China,Eastern Asia,Hubei,Macheng,,448
Morocco,North Africa,Tadla-Azilal,Beni Mellal,,449
United States,Central US,Texas,Dallas,75220.0,450
India,Southern Asia,Tamil Nadu,Madurai,,451
Germany,Western Europe,North Rhine-Westphalia,Dortmund,,452
Republic of the Congo,Central Africa,Niari,Loubomo,,453
China,Eastern Asia,Guangdong,Jiangmen,,454
Russia,Eastern Europe,Kaliningrad,Kaliningrad,,455
Norway,Northern Europe,Vest-Agder,Kristiansand,,456
Iraq,Western Asia,Al Qadisiyah,Ad Diwaniyah,,457
France,Western Europe,Aquitaine-Limousin-Poitou-Charentes,Bayonne,,458
United States,Central US,Oklahoma,Tulsa,74133.0,459
Canada,Canada,Ontario,Hamilton,,460
Cuba,Caribbean,Mayabeque,San José de las Lajas,,461
Algeria,North Africa,Alger,Algiers,,462
Italy,Southern Europe,Emilia-Romagna,Bologna,,463
United States,Western US,California,Los Angeles,90045.0,464
United States,Southern US,Tennessee,Lebanon,37087.0,465
Turkey,Western Asia,Istanbul,Istanbul,,466
Lithuania,Northern Europe,Kaunas,Kaunas,,467
Iran,Southern Asia,Ardabil,Ardabil,,468
Mexico,Central America,Baja California,Mexicali,,469
Saudi Arabia,Western Asia,Makkah,Mecca,,470
Egypt,North Africa,Al Iskandariyah,Alexandria,,471
Australia,Oceania,New South Wales,Queanbeyan,,472
China,Eastern Asia,Guangxi,Guilin,,473
United States,Eastern US,Ohio,Toledo,43615.0,474
China,Eastern Asia,Shandong,Gaomi,,475
South Africa,Southern Africa,Gauteng,Pretoria,,476
United Kingdom,Northern Europe,England,Blackpool,,477
Germany,Western Europe,Mecklenburg-Vorpommern,Schwerin,,478
India,Southern Asia,Uttar Pradesh,Aligarh,,479
Italy,Southern Europe,Trentino-Alto Adige,Trento,,480
Italy,Southern Europe,Emilia-Romagna,Ravenna,,481
United States,Western US,California,Lakewood,90712.0,482
Switzerland,Western Europe,Basel-Stadt,Basel,,483
Mozambique,Eastern Africa,Maputo,Matola,,484
France,Western Europe,Aquitaine-Limousin-Poitou-Charentes,Poitiers,,485
South Korea,Eastern Asia,Seoul,Seoul,,486
France,Western Europe,Alsace-Champagne-Ardenne-Lorraine,Mulhouse,,487
Italy,Southern Europe,Lombardy,Milan,,488
United States,Central US,Illinois,Decatur,62521.0,489
Malaysia,Southeastern Asia,Sabah,Kota Kinabalu,,490
United States,Western US,Colorado,Louisville,80027.0,491
Brazil,South America,Minas Gerais,Uberaba,,492
France,Western Europe,Ile-de-France,Rueil-Malmaison,,493
United Kingdom,Northern Europe,England,Crawley,,494
Nigeria,Western Africa,Benue,Makurdi,,495
Estonia,Northern Europe,Harjumaa,Tallinn,,496
United Kingdom,Northern Europe,Wales,Swansea,,497
Brazil,South America,Parana,Paranaguá,,498
Indonesia,Southeastern Asia,Kalimantan Timur,Samarinda,,499
India,Southern Asia,Andhra Pradesh,Vijayawada,,500
Turkey,Western Asia,Balikesir,Bandirma,,501
Cote d'Ivoire,Western Africa,Fromager,Gagnoa,,502
Honduras,Central America,Francisco Morazán,Tegucigalpa,,503
France,Western Europe,Ile-de-France,Villiers-le-Bel,,504
United States,Western US,Washington,Bellevue,98006.0,505
Mexico,Central America,Jalisco,Tlaquepaque,,506
France,Western Europe,Ile-de-France,Saint-Denis,,507
India,Southern Asia,Karnataka,Mangalore,,508
Cuba,Caribbean,Sancti Spíritus,Sancti Spíritus,,509
Brazil,South America,Santa Catarina,Indaial,,510
Norway,Northern Europe,Hordaland,Bergen,,511
Saudi Arabia,Western Asia,Ar Riyad,Riyadh,,512
Switzerland,Western Europe,Lucerne,Lucerne,,513
Paraguay,South America,Central,Fernando de la Mora,,514
Iran,Southern Asia,Hamadan,Malayer,,515
Democratic Republic of the Congo,Central Africa,Kasai-Oriental,Mbuji-mayi,,516
India,Southern Asia,Madhya Pradesh,Gwalior,,517
China,Eastern Asia,Fujian,Luoyang,,518
United Kingdom,Northern Europe,England,Southend-on-Sea,,519
France,Western Europe,Alsace-Champagne-Ardenne-Lorraine,Thionville,,520
United States,Western US,Montana,Great Falls,59405.0,521
India,Southern Asia,Jammu and Kashmir,Srinagar,,522
India,Southern Asia,Uttar Pradesh,Allahabad,,523
Indonesia,Southeastern Asia,Jawa Barat,Bekasi,,524
