product_id,product_name,category,sub-category
FUR-FU-4072,"Eldon Image Series Desk Accessories, Ebony",Furniture,Furnishings
FUR-CH-5441,"Office Star Executive Leather Armchair, Adjustable",Furniture,Chairs
FUR-CH-5380,"Novimex Executive Leather Armchair, Red",Furniture,Chairs
TEC-MA-5007,"Konica Inkjet, White",Technology,Machines
FUR-CH-4531,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs
OFF-BI-4372,GBC VeloBind Cover Sets,Office Supplies,Binders
TEC-CO-3678,"Canon Copy Machine, Color",Technology,Copiers
OFF-LA-3231,Avery 51,Office Supplies,Labels
FUR-BO-5762,"Safco Classic Bookcase, Pine",Furniture,Bookcases
TEC-CO-4590,"Hewlett Wireless Fax, Color",Technology,Copiers
OFF-BI-2937,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders
FUR-TA-3766,"Chromcraft Conference Table, with Bottom Storage",Furniture,Tables
OFF-AP-3577,"Breville Refrigerator, White",Office Supplies,Appliances
OFF-PA-4014,EcoTones Memo Sheets,Office Supplies,Paper
FUR-BO-5760,"Safco Classic Bookcase, Metal",Furniture,Bookcases
OFF-AR-3276,Avery Fluorescent Highlighter Four-Color Set,Office Supplies,Art
TEC-PH-5839,"Samsung Smart Phone, Cordless",Technology,Phones
TEC-PH-3130,"Apple Audio Dock, with Caller ID",Technology,Phones
TEC-MA-3788,Cisco CP-7937G Unified IP Conference Station Phone,Technology,Machines
FUR-TA-3779,"Chromcraft Wood Table, Rectangular",Furniture,Tables
FUR-TA-3771,"Chromcraft Round Table, Rectangular",Furniture,Tables
OFF-AP-4497,"Hamilton Beach Microwave, Black",Office Supplies,Appliances
FUR-TA-3422,"Bevis Conference Table, with Bottom Storage",Furniture,Tables
TEC-PH-5355,"Nokia Smart Phone, Full Size",Technology,Phones
TEC-PH-3147,"Apple Smart Phone, Cordless",Technology,Phones
TEC-MA-3329,Bady BDG101FRU Card Printer,Technology,Machines
TEC-CO-3599,"Brother Ink, Color",Technology,Copiers
TEC-CO-6010,"Sharp Wireless Fax, Digital",Technology,Copiers
FUR-CH-4654,"Hon Executive Leather Armchair, Adjustable",Furniture,Chairs
TEC-CO-3710,"Canon Wireless Fax, Laser",Technology,Copiers
FUR-BO-3176,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases
OFF-BI-3324,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Office Supplies,Binders
OFF-AP-4501,"Hamilton Beach Refrigerator, Black",Office Supplies,Appliances
OFF-AP-4745,"Hoover Stove, White",Office Supplies,Appliances
TEC-CO-3611,"Brother Wireless Fax, Laser",Technology,Copiers
FUR-BO-4849,"Ikea Classic Bookcase, Mobile",Furniture,Bookcases
FUR-TA-5066,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables
OFF-AP-4508,"Hamilton Beach Stove, White",Office Supplies,Appliances
OFF-BI-3308,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders
TEC-MA-5572,"Panasonic Printer, Red",Technology,Machines
OFF-AP-4503,"Hamilton Beach Refrigerator, Silver",Office Supplies,Appliances
TEC-PH-3806,"Cisco Smart Phone, Full Size",Technology,Phones
TEC-PH-5840,"Samsung Smart Phone, Full Size",Technology,Phones
TEC-CO-5999,"Sharp Fax Machine, High-Speed",Technology,Copiers
OFF-PA-6512,Xerox 1956,Office Supplies,Paper
FUR-BO-3891,"Dania Classic Bookcase, Pine",Furniture,Bookcases
FUR-CH-5442,"Office Star Executive Leather Armchair, Black",Furniture,Chairs
OFF-ST-4516,Hanging Personal Folder File,Office Supplies,Storage
TEC-PH-3149,"Apple Smart Phone, with Caller ID",Technology,Phones
FUR-BO-5948,"Sauder Classic Bookcase, Metal",Furniture,Bookcases
TEC-CO-6012,"Sharp Wireless Fax, Laser",Technology,Copiers
OFF-AP-4738,"Hoover Refrigerator, White",Office Supplies,Appliances
OFF-PA-6557,Xerox 1998,Office Supplies,Paper
TEC-CO-4593,"Hewlett Wireless Fax, Laser",Technology,Copiers
OFF-BI-3185,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,Binders
FUR-BO-3639,"Bush Library with Doors, Metal",Furniture,Bookcases
TEC-CO-4790,"HP Wireless Fax, Digital",Technology,Copiers
FUR-TA-4622,Hon 5100 Series Wood Tables,Furniture,Tables
OFF-BI-4340,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders
TEC-CO-3709,"Canon Wireless Fax, High-Speed",Technology,Copiers
TEC-CO-5998,"Sharp Fax Machine, Digital",Technology,Copiers
FUR-CH-4613,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs
OFF-AP-4221,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",Office Supplies,Appliances
TEC-AC-5858,SanDisk Cruzer 64 GB USB Flash Drive,Technology,Accessories
TEC-CO-3587,"Brother Copy Machine, Color",Technology,Copiers
TEC-CO-4577,"Hewlett Fax Machine, High-Speed",Technology,Copiers
TEC-AC-3405,"Belkin Router, USB",Technology,Accessories
FUR-BO-5761,"Safco Classic Bookcase, Mobile",Furniture,Bookcases
OFF-PA-6214,Strathmore Photo Mount Cards,Office Supplies,Paper
FUR-BO-5787,"Safco Library with Doors, Pine",Furniture,Bookcases
OFF-AP-4736,"Hoover Refrigerator, Red",Office Supplies,Appliances
TEC-MA-6150,"StarTech Printer, Wireless",Technology,Machines
OFF-PA-6430,Xerox 1881,Office Supplies,Paper
TEC-AC-5223,"Memorex Router, Bluetooth",Technology,Accessories
TEC-AC-5109,Logitech G600 MMO Gaming Mouse,Technology,Accessories
FUR-BO-5763,"Safco Classic Bookcase, Traditional",Furniture,Bookcases
TEC-AC-3403,"Belkin Router, Erganomic",Technology,Accessories
FUR-BO-3624,"Bush Classic Bookcase, Metal",Furniture,Bookcases
TEC-CO-4789,"HP Wireless Fax, Color",Technology,Copiers
FUR-FU-4762,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings
OFF-BI-4819,Ibico Covers for Plastic or Wire Binding Elements,Office Supplies,Binders
FUR-TA-5064,"Lesro Round Table, Rectangular",Furniture,Tables
OFF-SU-2972,Acme Forged Steel Scissors with Black Enamel Handles,Office Supplies,Supplies
OFF-AP-4502,"Hamilton Beach Refrigerator, Red",Office Supplies,Appliances
OFF-AP-4507,"Hamilton Beach Stove, Silver",Office Supplies,Appliances
FUR-TA-5065,"Lesro Round Table, with Bottom Storage",Furniture,Tables
OFF-PA-6420,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper
FUR-CH-4532,"Harbour Creations Executive Leather Armchair, Red",Furniture,Chairs
TEC-PH-3805,"Cisco Smart Phone, Cordless",Technology,Phones
OFF-BI-2911,Acco Hanging Data Binders,Office Supplies,Binders
TEC-AC-5744,Sabrent 4-Port USB 2.0 Hub,Technology,Accessories
TEC-AC-4185,"Enermax Router, Bluetooth",Technology,Accessories
OFF-PA-6596,Xerox 231,Office Supplies,Paper
TEC-MA-4205,"Epson Printer, Durable",Technology,Machines
FUR-TA-4642,"Hon Computer Table, Adjustable Height",Furniture,Tables
OFF-PA-3114,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,Paper
FUR-TA-5054,"Lesro Computer Table, Adjustable Height",Furniture,Tables
FUR-TA-5072,"Lesro Wood Table, Fully Assembled",Furniture,Tables
TEC-PH-5354,"Nokia Smart Phone, Cordless",Technology,Phones
FUR-TA-4706,"Hon Training Table, Fully Assembled",Furniture,Tables
FUR-TA-3344,"Barricks Conference Table, Fully Assembled",Furniture,Tables
FUR-TA-5421,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Furniture,Tables
OFF-AP-3574,"Breville Refrigerator, Black",Office Supplies,Appliances
FUR-FU-3936,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,Furnishings
OFF-AP-3581,"Breville Stove, White",Office Supplies,Appliances
FUR-TA-4943,KI Adjustable-Height Table,Furniture,Tables
OFF-AP-4966,"KitchenAid Stove, Silver",Office Supplies,Appliances
OFF-ST-6049,"Smead Lockers, Wire Frame",Office Supplies,Storage
TEC-CO-5991,"Sharp Copy Machine, High-Speed",Technology,Copiers
OFF-BI-4338,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders
OFF-AP-3580,"Breville Stove, Silver",Office Supplies,Appliances
OFF-ST-6047,"Smead Lockers, Industrial",Office Supplies,Storage
OFF-SU-5635,Premier Electric Letter Opener,Office Supplies,Supplies
FUR-FU-4756,"Howard Miller 12"" Round Wall Clock",Furniture,Furnishings
TEC-AC-6351,WD My Passport Ultra 1TB Portable External Hard Drive,Technology,Accessories
TEC-CO-3608,"Brother Wireless Fax, Color",Technology,Copiers
OFF-ST-4257,"Fellowes File Cart, Blue",Office Supplies,Storage
TEC-MA-4210,"Epson Receipt Printer, Red",Technology,Machines
OFF-ST-4266,"Fellowes Lockers, Blue",Office Supplies,Storage
FUR-BO-3903,"Dania Library with Doors, Pine",Furniture,Bookcases
FUR-BO-4862,"Ikea Library with Doors, Pine",Furniture,Bookcases
FUR-BO-3640,"Bush Library with Doors, Mobile",Furniture,Bookcases
FUR-BO-5950,"Sauder Classic Bookcase, Pine",Furniture,Bookcases
FUR-FU-4022,"Eldon 400 Class Desk Accessories, Black Carbon",Furniture,Furnishings
OFF-AP-3571,"Breville Microwave, Red",Office Supplies,Appliances
OFF-SU-3839,Compact Automatic Electric Letter Opener,Office Supplies,Supplies
FUR-CH-5429,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs
OFF-AP-4732,"Hoover Microwave, Silver",Office Supplies,Appliances
OFF-AP-4962,"KitchenAid Refrigerator, Silver",Office Supplies,Appliances
OFF-PA-6415,"Wirebound Message Book, 4 per Page",Office Supplies,Paper
OFF-PA-6577,Xerox 214,Office Supplies,Paper
OFF-FA-5459,OIC Binder Clips,Office Supplies,Fasteners
OFF-PA-3115,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",Office Supplies,Paper
FUR-TA-3358,"Barricks Wood Table, Rectangular",Furniture,Tables
FUR-BO-5967,"Sauder Library with Doors, Mobile",Furniture,Bookcases
FUR-BO-3626,"Bush Classic Bookcase, Pine",Furniture,Bookcases
FUR-TA-3345,"Barricks Conference Table, Rectangular",Furniture,Tables
OFF-AR-5327,Newell 347,Office Supplies,Art
OFF-AP-4739,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,Office Supplies,Appliances
FUR-TA-4645,"Hon Conference Table, Adjustable Height",Furniture,Tables
FUR-CH-5776,"SAFCO Executive Leather Armchair, Set of Two",Furniture,Chairs
OFF-AP-4505,"Hamilton Beach Stove, Black",Office Supplies,Appliances
OFF-LA-5591,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Office Supplies,Labels
OFF-AR-5458,"OIC #2 Pencils, Medium Soft",Office Supplies,Art
OFF-BI-3301,Avery Metallic Poly Binders,Office Supplies,Binders
TEC-MA-5017,"Konica Printer, Wireless",Technology,Machines
FUR-BO-3627,"Bush Classic Bookcase, Traditional",Furniture,Bookcases
OFF-AP-4964,"KitchenAid Stove, Black",Office Supplies,Appliances
FUR-CH-4544,"Harbour Creations Rocking Chair, Adjustable",Furniture,Chairs
FUR-BO-4848,"Ikea Classic Bookcase, Metal",Furniture,Bookcases
TEC-CO-3596,"Brother Fax Machine, Digital",Technology,Copiers
TEC-CO-4591,"Hewlett Wireless Fax, Digital",Technology,Copiers
OFF-AP-3573,"Breville Microwave, White",Office Supplies,Appliances
TEC-CO-3688,"Canon Fax Machine, High-Speed",Technology,Copiers
FUR-CH-4656,"Hon Executive Leather Armchair, Red",Furniture,Chairs
TEC-PH-3146,"Apple Signal Booster, with Caller ID",Technology,Phones
TEC-CO-4792,"HP Wireless Fax, Laser",Technology,Copiers
OFF-PA-6504,Xerox 1949,Office Supplies,Paper
TEC-CO-4571,"Hewlett Fax and Copier, Color",Technology,Copiers
OFF-BI-4343,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders
FUR-CH-5430,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs
FUR-TA-3427,Bevis Round Conference Table Top & Single Column Base,Furniture,Tables
TEC-PH-5815,"Samsung Audio Dock, with Caller ID",Technology,Phones
FUR-BO-5529,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases
OFF-AP-4961,"KitchenAid Refrigerator, Red",Office Supplies,Appliances
OFF-AP-4733,"Hoover Microwave, White",Office Supplies,Appliances
OFF-ST-5691,"Rogers File Cart, Blue",Office Supplies,Storage
FUR-CH-5412,"Novimex Swivel Stool, Black",Furniture,Chairs
OFF-AP-3578,"Breville Stove, Black",Office Supplies,Appliances
FUR-TA-3763,"Chromcraft Conference Table, Adjustable Height",Furniture,Tables
TEC-AC-5138,Logitech Trackman Marble Mouse,Technology,Accessories
FUR-TA-5053,"Lesro Coffee Table, with Bottom Storage",Furniture,Tables
OFF-BI-5638,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",Office Supplies,Binders
TEC-AC-5094,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories
FUR-CH-4655,"Hon Executive Leather Armchair, Black",Furniture,Chairs
FUR-BO-3648,"Bush Stackable Bookrack, Traditional",Furniture,Bookcases
FUR-BO-5969,"Sauder Library with Doors, Traditional",Furniture,Bookcases
OFF-ST-6046,"Smead Lockers, Blue",Office Supplies,Storage
TEC-CO-3595,"Brother Fax Machine, Color",Technology,Copiers
OFF-ST-5702,"Rogers Lockers, Single Width",Office Supplies,Storage
TEC-CO-4568,"Hewlett Copy Machine, Color",Technology,Copiers
FUR-FU-4050,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",Furniture,Furnishings
TEC-CO-4588,"Hewlett Personal Copier, High-Speed",Technology,Copiers
FUR-BO-4850,"Ikea Classic Bookcase, Pine",Furniture,Bookcases
FUR-FU-3844,"Computer Room Manger, 14""",Furniture,Furnishings
TEC-CO-4578,"Hewlett Fax Machine, Laser",Technology,Copiers
OFF-AR-5285,Newell 309,Office Supplies,Art
OFF-AP-4504,"Hamilton Beach Refrigerator, White",Office Supplies,Appliances
OFF-ST-5700,"Rogers Lockers, Blue",Office Supplies,Storage
OFF-ST-6261,"Tenex Lockers, Blue",Office Supplies,Storage
OFF-AP-3367,Belkin 7-Outlet SurgeMaster Home Series,Office Supplies,Appliances
FUR-CH-5456,"Office Star Swivel Stool, Red",Furniture,Chairs
OFF-EN-2848,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes
OFF-BI-6094,SpineVue Locking Slant-D Ring Binders by Cardinal,Office Supplies,Binders
TEC-MA-5005,"Konica Card Printer, Wireless",Technology,Machines
FUR-TA-3359,"Barricks Wood Table, with Bottom Storage",Furniture,Tables
TEC-AC-3402,"Belkin Router, Bluetooth",Technology,Accessories
OFF-LA-6021,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Labels
FUR-TA-3343,"Barricks Conference Table, Adjustable Height",Furniture,Tables
OFF-ST-6158,Sterilite Show Offs Storage Containers,Office Supplies,Storage
OFF-AP-3867,"Cuisinart Microwave, White",Office Supplies,Appliances
OFF-LA-3224,Avery 502,Office Supplies,Labels
OFF-BI-3473,Binder Posts,Office Supplies,Binders
FUR-BO-5971,"Sauder Stackable Bookrack, Mobile",Furniture,Bookcases
FUR-TA-5059,"Lesro Conference Table, Rectangular",Furniture,Tables
TEC-MA-5502,"Okidata Inkjet, White",Technology,Machines
TEC-CO-3706,"Canon Personal Copier, Laser",Technology,Copiers
TEC-CO-3609,"Brother Wireless Fax, Digital",Technology,Copiers
FUR-BO-5798,"Safco Stackable Bookrack, Pine",Furniture,Bookcases
FUR-CH-5447,"Office Star Rocking Chair, Black",Furniture,Chairs
FUR-BO-3641,"Bush Library with Doors, Pine",Furniture,Bookcases
OFF-AP-4956,"KitchenAid Microwave, Black",Office Supplies,Appliances
TEC-MA-4206,"Epson Printer, Red",Technology,Machines
OFF-ST-4057,"Eldon File Cart, Single Width",Office Supplies,Storage
FUR-TA-4711,"Hon Wood Table, Fully Assembled",Furniture,Tables
TEC-CO-4592,"Hewlett Wireless Fax, High-Speed",Technology,Copiers
TEC-MA-5511,"Okidata Printer, Red",Technology,Machines
OFF-PA-6535,Xerox 1978,Office Supplies,Paper
TEC-PH-5263,"Motorola Signal Booster, Cordless",Technology,Phones
OFF-ST-5708,"Rogers Shelving, Wire Frame",Office Supplies,Storage
OFF-AP-3872,"Cuisinart Stove, Black",Office Supplies,Appliances
FUR-BO-5786,"Safco Library with Doors, Mobile",Furniture,Bookcases
OFF-BI-3729,Cardinal Holdit Business Card Pockets,Office Supplies,Binders
FUR-BO-5968,"Sauder Library with Doors, Pine",Furniture,Bookcases
TEC-AC-5224,"Memorex Router, Erganomic",Technology,Accessories
OFF-AR-3285,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Office Supplies,Art
FUR-TA-3442,"Bevis Wood Table, with Bottom Storage",Furniture,Tables
FUR-CH-5411,"Novimex Swivel Stool, Adjustable",Furniture,Chairs
OFF-BI-4884,Insertable Tab Indexes For Data Binders,Office Supplies,Binders
OFF-BI-4345,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders
OFF-AP-3873,"Cuisinart Stove, Red",Office Supplies,Appliances
TEC-CO-3683,"Canon Fax and Copier, Digital",Technology,Copiers
TEC-PH-5089,LG G3,Technology,Phones
FUR-FU-2871,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Furnishings
OFF-BI-4827,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders
TEC-PH-2879,Aastra 6757i CT Wireless VoIP phone,Technology,Phones
TEC-AC-5136,"Logitech Router, Programmable",Technology,Accessories
FUR-CH-5773,"SAFCO Executive Leather Armchair, Adjustable",Furniture,Chairs
FUR-TA-3412,Bevis Boat-Shaped Conference Table,Furniture,Tables
FUR-BO-3642,"Bush Library with Doors, Traditional",Furniture,Bookcases
TEC-MA-3700,Canon PC170 Desktop Personal Copier,Technology,Machines
TEC-PH-3802,"Cisco Signal Booster, VoIP",Technology,Phones
TEC-AC-5226,"Memorex Router, USB",Technology,Accessories
FUR-BO-4861,"Ikea Library with Doors, Mobile",Furniture,Bookcases
TEC-CO-6009,"Sharp Wireless Fax, Color",Technology,Copiers
FUR-TA-4712,"Hon Wood Table, Rectangular",Furniture,Tables
FUR-TA-3760,"Chromcraft Computer Table, Fully Assembled",Furniture,Tables
FUR-BO-5788,"Safco Library with Doors, Traditional",Furniture,Bookcases
TEC-CO-5997,"Sharp Fax Machine, Color",Technology,Copiers
TEC-MA-6138,"StarTech Card Printer, White",Technology,Machines
FUR-BO-3904,"Dania Library with Doors, Traditional",Furniture,Bookcases
FUR-TA-5057,"Lesro Conference Table, Adjustable Height",Furniture,Tables
OFF-AP-3576,"Breville Refrigerator, Silver",Office Supplies,Appliances
TEC-PH-5813,"Samsung Audio Dock, Full Size",Technology,Phones
TEC-PH-5625,Polycom VoiceStation 500 Conference phone,Technology,Phones
OFF-ST-6033,"Smead File Cart, Single Width",Office Supplies,Storage
TEC-AC-4186,"Enermax Router, Erganomic",Technology,Accessories
OFF-ST-4281,Fellowes Recycled Storage Drawers,Office Supplies,Storage
TEC-AC-6076,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories
OFF-AP-3865,"Cuisinart Microwave, Red",Office Supplies,Appliances
OFF-AR-6111,"Stanley Highlighters, Easy-Erase",Office Supplies,Art
FUR-CH-5775,"SAFCO Executive Leather Armchair, Red",Furniture,Chairs
TEC-CO-3707,"Canon Wireless Fax, Color",Technology,Copiers
OFF-ST-4457,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage
TEC-AC-4936,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,Technology,Accessories
TEC-MA-5014,"Konica Printer, Durable",Technology,Machines
TEC-PH-5336,"Nokia Audio Dock, Full Size",Technology,Phones
OFF-AP-4958,"KitchenAid Microwave, Silver",Office Supplies,Appliances
OFF-AP-3570,"Breville Microwave, Black",Office Supplies,Appliances
FUR-FU-6235,Tenex Chairmats For Use with Hard Floors,Furniture,Furnishings
FUR-TA-5062,"Lesro Round Table, Adjustable Height",Furniture,Tables
OFF-ST-3360,"Belkin 19"" Center-Weighted Shelf, Gray",Office Supplies,Storage
TEC-MA-6148,"StarTech Printer, Red",Technology,Machines
TEC-CO-3686,"Canon Fax Machine, Color",Technology,Copiers
FUR-CH-4545,"Harbour Creations Rocking Chair, Black",Furniture,Chairs
TEC-CO-4765,"HP Copy Machine, Color",Technology,Copiers
OFF-AP-4731,"Hoover Microwave, Red",Office Supplies,Appliances
FUR-TA-5071,"Lesro Wood Table, Adjustable Height",Furniture,Tables
FUR-BO-5778,"Safco Floating Shelf Set, Mobile",Furniture,Bookcases
OFF-BI-5614,Plastic Binding Combs,Office Supplies,Binders
FUR-TA-4646,"Hon Conference Table, Fully Assembled",Furniture,Tables
FUR-BO-5940,"Sauder 3-Shelf Cabinet, Metal",Furniture,Bookcases
TEC-AC-5896,"SanDisk Router, Programmable",Technology,Accessories
OFF-AR-5912,"Sanford Highlighters, Fluorescent",Office Supplies,Art
TEC-MA-6142,"StarTech Inkjet, Wireless",Technology,Machines
FUR-BO-3889,"Dania Classic Bookcase, Metal",Furniture,Bookcases
OFF-AR-5156,Lumber Crayons,Office Supplies,Art
FUR-TA-4647,"Hon Conference Table, Rectangular",Furniture,Tables
OFF-BI-4346,GBC Imprintable Covers,Office Supplies,Binders
FUR-BO-4851,"Ikea Classic Bookcase, Traditional",Furniture,Bookcases
FUR-BO-5949,"Sauder Classic Bookcase, Mobile",Furniture,Bookcases
OFF-LA-3206,Avery 487,Office Supplies,Labels
TEC-CO-4576,"Hewlett Fax Machine, Digital",Technology,Copiers
TEC-MA-5548,"Panasonic Inkjet, White",Technology,Machines
FUR-TA-4841,"Iceberg OfficeWorks 42"" Round Tables",Furniture,Tables
OFF-PA-6497,Xerox 1942,Office Supplies,Paper
FUR-BO-4860,"Ikea Library with Doors, Metal",Furniture,Bookcases
OFF-AP-3868,"Cuisinart Refrigerator, Black",Office Supplies,Appliances
FUR-CH-5428,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs
TEC-CO-3681,"Canon Copy Machine, Laser",Technology,Copiers
OFF-PA-6441,Xerox 1891,Office Supplies,Paper
OFF-PA-6361,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper
TEC-AC-5097,Logitech Desktop MK120 Mouse and keyboard Combo,Technology,Accessories
FUR-BO-5972,"Sauder Stackable Bookrack, Pine",Furniture,Bookcases
OFF-AP-4498,"Hamilton Beach Microwave, Red",Office Supplies,Appliances
FUR-BO-3887,"Dania 3-Shelf Cabinet, Pine",Furniture,Bookcases
FUR-TA-4713,"Hon Wood Table, with Bottom Storage",Furniture,Tables
FUR-BO-3892,"Dania Classic Bookcase, Traditional",Furniture,Bookcases
OFF-BI-4358,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders
OFF-BI-6345,Vinyl Sectional Post Binders,Office Supplies,Binders
FUR-BO-5942,"Sauder 3-Shelf Cabinet, Pine",Furniture,Bookcases
FUR-TA-3759,"Chromcraft Computer Table, Adjustable Height",Furniture,Tables
TEC-CO-4791,"HP Wireless Fax, High-Speed",Technology,Copiers
OFF-ST-6248,"Tenex File Cart, Single Width",Office Supplies,Storage
OFF-AP-4500,"Hamilton Beach Microwave, White",Office Supplies,Appliances
TEC-MA-5016,"Konica Printer, White",Technology,Machines
TEC-AC-5135,"Logitech Router, Erganomic",Technology,Accessories
OFF-AR-5289,Newell 312,Office Supplies,Art
TEC-CO-4767,"HP Copy Machine, Laser",Technology,Copiers
TEC-PH-3786,"Cisco Audio Dock, VoIP",Technology,Phones
TEC-PH-5163,Macally Suction Cup Mount,Technology,Phones
FUR-TA-3761,"Chromcraft Computer Table, Rectangular",Furniture,Tables
TEC-AC-6078,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,Technology,Accessories
OFF-LA-3327,Avery White Multi-Purpose Labels,Office Supplies,Labels
OFF-BI-6393,Wilson Jones Four-Pocket Poly Binders,Office Supplies,Binders
TEC-PH-3787,"Cisco Audio Dock, with Caller ID",Technology,Phones
